"Record Date","Agency Bureau Indicator","Agency Name","Bureau Name","Total Eligible Debt Amount","Total Eligible Debt Count","Eligible Debt Referred Amount","Eligible Debt Referred Count","Eligible Debt Not Referred Amount","Eligible Debt Not Referred Count","Compliance Rate Amount","Compliance Rate Count","CFO Agency Indicator","Fiscal Year","Fiscal Quarter Number","Calendar Year","Calendar Quarter Number","Calendar Month Number","Calendar Day Number"
"2024-06-30","Agency","Agency for International Development","null","28276178","55","28275905","54","273","1","99.99903452298256","98.18181818181819","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Agency for International Development","Agency for International Development","28276178","55","28275905","54","273","1","99.99903452298256","98.18181818181819","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","American Battle Monuments Commission","null","0","0","0","0","0","0","0.0","0.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","American Battle Monuments Commission","American Battle Monuments Commission","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Armed Forces Retirement Home","null","108119","91","108119","91","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Armed Forces Retirement Home","Armed Forces Retirement Home","108119","91","108119","91","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Commodity Futures Trading Commission","null","633205219","359","633205219","359","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Commodity Futures Trading Commission","Commodity Futures Trading Commission","633205219","359","633205219","359","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Consumer Product Safety Commission","null","425","2","425","2","0","0","100.0","100.0","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Consumer Product Safety Commission","Consumer Product Safety Commission","425","2","425","2","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Corp. for National and Community Service","null","3744232","311","3601320","148","142912","163","96.18314249758028","47.58842443729903","Non-CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Corp. for National and Community Service","Corp. for National and Community Service","3744232","311","3601320","148","142912","163","96.18314249758028","47.58842443729903","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Agriculture","null","1146699505","47737","1136329278","43787","10370227","3950","99.09564563734594","91.72549594654042","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Agricultural Marketing Service","4646862","2017","3861474","1163","785388","854","83.09852971747385","57.659890927119484","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Commodity Credit Corporation","144444067","8621","140350932","8290","4093135","331","97.16628374912762","96.16053822062406","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Farm Service Agency","76678658","2191","76675080","1648","3578","543","99.99533377331669","75.21679598356914","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Federal Crop Insurance Corporation","13798","2","13798","2","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Food Safety and Inspection Service","1658267","2389","1564843","2334","93424","55","94.36616660646325","97.69778149853495","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Food and Nutrition Service","45871","19","38429","15","7442","4","83.77624207015326","78.94736842105263","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Forest Service","74117698","879","72278695","422","1839003","457","97.51880718151824","48.009101251422074","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","Rural Development","820594143","27522","820587188","27517","6955","5","99.99915244337785","99.98183271564567","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Agriculture","U.S. Department of Agriculture","24500141","4097","20958839","2396","3541302","1701","85.54578930790643","58.48181596289968","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Commerce","null","58831267","7126","58831267","7126","0","0","100.0","100.0","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Bureau of Industry and Security","37545771","27","37545771","27","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Bureau of the Census","1789388","5524","1789388","5524","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Economic Development Administration","5120584","11","5120584","11","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Economic and Statistical Analysis","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","General Administration","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","International Trade Administration","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Minority Business Development Agency","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","NOAA","12517698","814","12517698","814","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Nat'l Institute of Standards& Technology","992798","6","992798","6","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Nat'l Telecomm & Information Admin.","296093","1","296093","1","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","National Technical Information Service","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Office of the Inspector General","0","0","0","0","0","0","0.0","0.0","null","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Commerce","Patent and Trademark Office","568935","743","568935","743","0","0","100.0","100.0","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Defense","null","2970422073","1433098","1070532525","288509","1899889548","1144589","36.03974447708058","20.131840250980744","CFO","2024","3","2024","2","06","30"
"2024-06-30","Bureau","Department of Defense","Consolidated Report","2970422073","1433098","1070532525","288509","1899889548","1144589","36.03974447708058","20.131840250980744","null","2024","3","2024","2","06","30"
"2024-06-30","Agency","Department of Education","null","114061515988","19127439","110714244793","18490664","3347271195","636775","97.06538075878971","96.6708820767903","CFO","2024","3","2024","2","06","30"
