"Record Date","Debt Outstanding Amount"
"2024-09-30","35464673929171.69"
"2023-09-30","33167334044723.16"
"2022-09-30","30928911613306.73"
"2021-09-30","28428918570048.68"
"2020-09-30","26945391194615.15"
"2019-09-30","22719401753433.78"
"2018-09-30","21516058183180.23"
"2017-09-30","20244900016053.51"
"2016-09-30","19573444713936.79"
"2015-09-30","18150617666484.33"
"2014-09-30","17824071380733.82"
"2013-09-30","16738183526697.32"
"2012-09-30","16066241407385.89"
"2011-09-30","14790340328557.15"
"2010-09-30","13561623030891.79"
"2009-09-30","11909829003511.75"
"2008-09-30","10024724896912.49"
"2007-09-30","9007653372262.48"
"2006-09-30","8506973899215.23"
"2005-09-30","7932709661723.50"
"2004-09-30","7379052696330.32"
"2003-09-30","6783231062743.62"
"2002-09-30","6228235965597.16"
"2001-09-30","5807463412200.06"
"2000-09-30","5674178209886.86"
"1999-09-30","5656270901615.43"
"1998-09-30","5526193008897.62"
"1997-09-30","5413146011397.34"
"1996-09-30","5224810939135.73"
"1995-09-29","4973982900709.39"
"1994-09-30","4692749910013.32"
"1993-09-30","4411488883139.38"
"1992-09-30","4064620655521.66"
"1991-09-30","3665303351697.03"
"1990-09-28","3233313451777.25"
"1989-09-29","2857430960187.32"
"1988-09-30","2602337712041.16"
"1987-09-30","2350276890953.00"
"1986-09-30","2125302616658.42"
"1985-09-30","1823103000000.00"
"1984-09-30","1572266000000.00"
"1983-09-30","1377210000000.00"
"1982-09-30","1142034000000.00"
"1981-09-30","997855000000.00"
"1980-09-30","907701000000.00"
"1979-09-30","826519000000.00"
"1978-09-30","771544000000.00"
"1977-09-30","698840000000.00"
"1976-06-30","620433000000.00"
"1975-06-30","533189000000.00"
"1974-06-30","475059815731.55"
"1973-06-30","458141605312.09"
"1972-06-30","427260460940.50"
"1971-06-30","398129744455.54"
"1970-06-30","370918706949.93"
"1969-06-30","353720253841.41"
"1968-06-30","347578406425.88"
"1967-06-30","326220937794.54"
"1966-06-30","319907087795.48"
"1965-06-30","317273898983.64"
"1964-06-30","311712899257.30"
"1963-06-30","305859632996.41"
